x,y,z
8.9802632178,2.3964118339,2.6309084487
8.9802632178,2.3964118339,2.6309084487
8.931210354500001,2.3581266723,2.7696921595
8.931210354500001,2.3581266723,2.7696921595
9.2039921309,2.2348963084,2.8881368782
9.2039921309,2.2348963084,2.8881368782
9.5425765288,2.2564317118,2.9802605483
9.5425765288,2.2564317118,2.9802605483
9.4911308429,2.3916261887,2.8163522002
9.4911308429,2.3916261887,2.8163522002
9.3451686643,2.3928226,2.464607278
9.3451686643,2.3928226,2.464607278
9.188438784,2.2564317118,2.321037922
9.188438784,2.2564317118,2.321037922
8.997012975999999,2.3952154226,2.4227328825
8.9036928946,2.7218357075,2.584248408
8.9036928946,2.7218357075,2.584248408
9.0101735003,2.7672993369,2.7266213527
9.0101735003,2.7672993369,2.7266213527
9.0113699116,2.7086751832,2.8151557889
9.0113699116,2.7086751832,2.8151557889
9.1274218077,2.7385854657,2.7290141753
9.1274218077,2.7385854657,2.7290141753
9.2135634213,2.7326034092,2.7026931267000003
9.2135634213,2.7326034092,2.7026931267000003
8.9766739839,2.656033086,2.7218357075
8.9766739839,2.656033086,2.7218357075
8.931210354500001,2.6476582069,2.7122644171
8.931210354500001,2.6476582069,2.7122644171
9.0520478958,2.6464617956,2.7206392962
9.0520478958,2.6464617956,2.7206392962
9.1800639049,2.5531417142,2.787638329
9.1800639049,2.5531417142,2.787638329
9.3667040677,2.5698914724,2.8486553053
9.3667040677,2.5698914724,2.8486553053
9.2638126959,2.6285156261,2.7529424013
9.2638126959,2.6285156261,2.7529424013
9.0640120088,2.4729821571,2.6105694566
9.0640120088,2.4729821571,2.6105694566
9.0735832992,2.3712871966,2.7134608284
9.0735832992,2.5866412306,2.8570301844
9.0616191862,2.5866412306,2.8570301844
9.0472622506,2.6476582069,2.8749763539
9.0472622506,2.6476582069,2.8749763539
9.1058864043,2.560320182,2.8211378454
9.1058864043,2.560320182,2.8211378454
9.0699940653,2.4502503424,2.6548366747000003
9.0699940653,2.4502503424,2.6548366747000003
8.8570328539,2.4215364712,2.6273192148
8.8570328539,2.4215364712,2.6273192148
8.8630149104,2.5710878837,2.9168507494
8.8630149104,2.5710878837,2.9168507494
9.0364945489,2.6715864329,3.0329026455
9.0364945489,2.6715864329,3.0329026455
9.3487578982,2.5268206656,2.7744778047
9.3487578982,2.5268206656,2.7744778047
9.4504528587,2.6344976826,2.464607278
9.4504528587,2.6344976826,2.464607278
9.1573320902,2.6452653843,2.3030917525
9.1573320902,2.4382862294,2.3318056237
9.1118684608,2.4382862294,2.3318056237
9.200402897,2.5794627628,2.3820548983
9.200402897,2.5794627628,2.3820548983
9.2195454778,2.7302105866,2.3186450994000003
9.2195454778,2.7302105866,2.3186450994000003
